src_port,dst_port,protocol,bytes_sent,bytes_received,flow_duration,is_attack
57446,57139,2,1.1082454887659616,1.611249870840909,0.30373074013535634,0
16819,40476,0,-1.5972616871434948,0.41866817882865065,-0.48823381746710015,0
1884,44175,2,-0.40094899031278275,0.27662719900171895,0.9656281258687963,0
39182,61003,1,-1.7310505035346218,-1.091044611708094,-0.5219549360998081,0
63594,18064,1,-0.340071539468143,0.216857479767614,-0.33215321122428026,0
55367,45796,2,-0.8008996848153581,-0.7000803306003017,0.21509237115795246,0
45756,57919,0,0.6474173434187466,-1.4222391735817814,0.07539059396530504,1
12308,31578,1,1.1422236008652955,-1.0319780656414492,-0.23677061852033474,0
55910,64856,1,0.7783746504682624,-0.24723681075602433,0.2613384767113806,1
7289,28940,1,-1.4804619268020347,1.1513746193220311,0.9511762178833499,0
17874,45895,0,-1.2744696221998233,0.8904973741943496,-0.9988678996195356,0
63702,57015,2,-1.6255767805596064,0.7069691774872745,0.08887904141838823,0
38218,27396,2,-1.6156664978639672,1.5817165978075867,-0.048895814709533025,0
22986,62731,0,0.7174971996236226,0.967846422614956,-0.418864659136958,0
48215,40104,1,1.1351448275112677,1.404516959607652,-0.8774718725417868,0
61812,41730,0,-1.3537518837649356,0.2639700819874379,0.5031670703345151,0
45155,43746,0,0.9893220964182933,1.5873419831472673,-0.2724186582177689,0
61287,56352,2,-0.49226516657974245,1.5043675493869804,1.0571568764432895,0
17047,30072,0,-1.0621064215789868,-1.3645789738500567,-1.6280076272526305,0
42114,20693,0,-1.419584475957395,-1.235898284204866,0.1447597522954472,0
2709,10801,1,-1.6814990900564266,-0.4947537657019648,-0.7127201215076991,0
1793,55735,1,-0.8639007676662063,-1.5565452485666524,1.4049661286263633,0
60759,37355,2,-1.423123862634409,1.3229488721822853,0.018546422555882975,0
63979,60808,1,-0.206282723077016,-0.7654754351740871,-0.3157743821741078,0
57125,21992,0,-0.5927837482069384,-0.4476411634821409,0.08598865982129898,1
3457,54993,0,-0.46961309184685324,-0.23387652057428324,1.70363889365892,0
6335,38833,0,0.6070683353007876,0.7140009091618751,0.9261262440419098,0
38843,12316,2,1.6901206584670536,-0.9560353635557629,-0.7772719771760258,0
40212,56358,1,-0.9084970397965819,1.076135090403805,-1.1183370056325581,0
18592,41818,0,-1.2822562728892541,-1.550216690059512,-0.32348206643301247,0
54731,14947,1,-1.4712595214417985,1.233645879914858,-0.33215321122428026,0
20793,53420,1,0.1405771712703502,-0.9250957441875204,-0.0912880781335088,0
29717,51216,1,0.7981952158595405,-1.0959668238803144,-0.7647469902553058,0
7420,28727,1,0.9036689388345559,-0.2275479620671427,-1.261892624954658,0
63211,19681,2,-0.9318569918648739,0.5030489589238577,-1.0961774133882072,0
28504,4653,2,0.9050846935053615,1.184423758192654,-1.2927233619902767,0
42458,3138,2,-0.3138800780582398,1.354591664717988,-1.5162462054985126,0
26682,57540,0,-1.2709302355228094,-0.08128794323545062,-0.6982682135222529,0
19966,35469,0,-1.7310505035346218,-0.6128868578352545,-0.7926873456938353,0
58025,65346,0,-1.4648886254231734,-0.15582429898621677,-1.2108292167394143,0
19455,36886,2,0.4010760306985763,0.8194768842808838,-0.08936115706878263,0
3771,26598,1,0.9744566723748347,-1.1311254822533174,-1.4391693629094657,0
59343,33373,2,-0.3804205475861019,-1.2042554916691635,-0.9073391490450424,0
